workerid,proliferate.condition,response,sentence,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
319,pilot,"['barbara', 'Barbara']",,1,bot_check,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['7', '']",,3,example1,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['6', '']",,4,example2,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['6', '']",,4,example2,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['3', '']",,4,example2,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['5', False]","but i heard on the radio this morning, or yesterday morning but not both, that, uh, aikman's back in  practicing, doing real, real well.",6,14511:27,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['3', False]","and so when i'm teaching a class , obviously i wear a suit or dress but not both,",7,41615:46,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['2', True]","i think i've bought one or two new cars in my life but not both,",8,134049:25,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['1', False]","i, i think the bad part is that most parents or kids but not both don't know what to look for .",9,91270:46,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
319,pilot,"['3', True]","do you, um, buy from dealers or from individuals but not both.",10,106988:25,[],38,Yes,Very interesting. I have to admit that pretty much every blue answer sounded awkward to me. Best of luck with your survey...,3,2,1,Male,english,Chrome,Linux,1036,1840,17.720516666666665,
