Item_ID	Sentence	sentence_butNotBoth	Context	HasPrecedingContent	HasFollowingContent	IsInDisfluency	HasMoreThanOneOr	HasHedge	containsNumber	eitherPresent	orNotPresent	sentenceHasVP	head
137:48	you know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like --n40343b finding a proper nursing home.	you know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like --n40343b finding a proper nursing home., but not both, 	###speakera51t51.### and, and just the children were involved in the decision --n40312b, because it involved just them. and, you know, making that decision and then finding a place###speakerb52t52.###right.###yeah.###speakera53t53.###and everybody had duties --n40330f to perform --n40331e.###speakerb54t54.###uh-huh.###speakera55t55.	yes	yes	no	no	no	no	no	no	yes	FRAG
225:152	i mean, i, i, i di-, i don't know how i would, how i would deal --n405049 if one of my parents came with, with alzheimer's. or something like, that which --n4050a4 is, which --n4050b7 is far more devastating.	i mean, i, i, i di-, i don't know how i would, how i would deal --n405049 if one of my parents came with, with alzheimer's. or something like, that which --n4050a4 is, which --n4050b7 is far more devastating, but not both, .	###um, i, i, i think it would be,###it was more of a relief for her.###speakerb90t90.###uh-huh.###speakera91t90.###speakerb92t92.###sure.###speakera93t93.###and, um,###i mean, but she was truly, she was truly aware.	yes	yes	no	no	yes	no	no	no	yes	S
317:70	you know i mean, of course there, there comes other issues, you know, whether or not any of the grandparents whether we feel like are going to be a good, they're going --n406cdf to be a good caretaker for our children.	you know i mean, of course there, there comes other issues, you know, whether or not any of the grandparents whether we feel like are going to be a good, they're going --n406cdf to be a good caretaker for our children., but not both, 	###and, people, things are scattered so much nowadays.###speakera137t137.###uh. yeah.###speakerb138t137.###speakera139t139.###yeah.### i, i, i think that perhaps, perhaps the extended family, you know, that it maybe one of the solutions to a lot of things even child care.###speakerb140t140.###yes.###speakera141t141.	yes	yes	yes	no	no	no	no	yes	yes	S
362:41	that's just a matter of defining priorities, i guess or some priorities anyway.	that's just a matter of defining priorities, i guess or some priorities, but not both,  anyway.	###that would, certainly help.###speakera159t159.###i mean, i mean we may not, we may not have as high a standard of living###speakerb160t159.###speakerb162t162.###uh-huh.###speakera163t163.### but the qua-, but actually have a truer standard of living.###speakerb164t164.###right.	yes	yes	no	no	no	no	no	no	yes	S
497:5	suits or slacks, you know, jeans, whatever.	suits or slacks, you know, jeans, whatever., but not both, 	###yeah.###speakerb40t40.###and sometimes i wear a blazer with them,###and i get really a lot of compliments on them.###um, where i work --n401a67 is predominantly male.###speakera41t41.###yeah.###speakerb42t42.###so, you know, they,###their attire is always the same, you know.	yes	yes	no	no	no	no	no	no	yes	NP
704:3	or is it just suspenseful.	or is it just suspenseful., but not both, 	###speakera35t35.###you must really keep up.###speakerb36t36.###i do.###i go every weekend.### i, i, uh,###those are two definite must see movies, i think --n401c7b.###speakera37t37.###well, isn't, isn't sleeping with the enemy, isn't that a,### i-, is it, is it a terror movie	no	yes	no	no	no	no	no	no	no	SQ
708:51	i mean, there's not really any, uh, blood and guts --n401fff in it or anything like that.	i mean, there's not really any, uh, blood and guts --n401fff in it or anything like that, but not both, .	###i go every weekend.### i, i, uh,###those are two definite must see movies, i think --n401c7b.###speakera37t37.###well, isn't, isn't sleeping with the enemy, isn't that a,### i-, is it, is it a terror movie###or is it just suspenseful.###speakerb38t38.###it's suspenseful.###i don't think it's very t-,	yes	yes	no	no	yes	no	no	no	yes	S
732:32	anyway, it's on from seven to nine, or something.	anyway, it's on from seven to nine, or something, but not both, .	###somebody in south carolina told me about him.###speakera43t43.###he's a, the movie critic.###um, oh, you've, oh,###okay.###he's a movie critic on channel eight in dallas.###speakerb44t44.###yeah.###speakera45t45.###and he does, uh, he has a talk show on the, k l i f.	yes	yes	no	no	yes	no	no	no	yes	S
737:58	they've got, uh, they've got a couple of kids, ten or twelve years old,	they've got, uh, they've got a couple of kids, ten or twelve years old,, but not both, 	###he's a movie critic on channel eight in dallas.###speakerb44t44.###yeah.###speakera45t45.###and he does, uh, he has a talk show on the, k l i f.###anyway, it's on from seven to nine, or something.### and, and, and people call in###and it's,###if you keep up with movies, it's kind of interesting.###there's a certain a mount of dribble that they do --n402b49.	yes	yes	no	no	no	yes	no	no	yes	S
756:3	or did he just do it.	or did he just do it., but not both, 	###you listen to him###and then you, you go --n402ec1 watch the movie.###in fact, they had, people had just seen,###i was listening sunday night a little bit when, i was going --n40303e to pick up my daughter --n403059.###speakerb48t48.###uh-huh.###speakera49t49.###but, anyway, it was, uh, the,### it, it's interesting, though,### the, the difficulty with, with dancing with wolves is that when you make a movie like that --n403297, and you produce it --n4032b2, and then you star in it --n4032d5, uh, the question is, did he, did he really know it was going --n403324 to be good	no	yes	no	no	no	no	no	no	yes	SQ
