workerid,tgrep id,entire sentence,response,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
0,NA,NA,[False],2,English,1,Female,28,,Yes,1,2,Windows,864,1536,Chrome,3SSN80MU8CWDQ6NRR36U7J3BC37KX8,3S0VMPP5OFFXGYWALVBBRZW437UKX5,Modify sentences - pilot,You&quotecharll read some sentences and insert something at a certain position,language research stanford,$1.50,Mi Sep 27 23:26:38 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fr Okt 27 23:26:38 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SSN80MU8CWDQ6NRR36U7J3BC37KX8,30JNVC0ORAS523J1P6D7O3NAXNIQH9,0,Submitted,Do Sep 28 16:17:16 MESZ 2017,Mi Sep 27 23:31:23 MESZ 2017,Mi Sep 27 23:37:16 MESZ 2017,,,,,,undefined,5.803766666666666,[]
0,NA,NA,[True],3,English,1,Female,28,,Yes,1,2,Windows,864,1536,Chrome,3SSN80MU8CWDQ6NRR36U7J3BC37KX8,3S0VMPP5OFFXGYWALVBBRZW437UKX5,Modify sentences - pilot,You&quotecharll read some sentences and insert something at a certain position,language research stanford,$1.50,Mi Sep 27 23:26:38 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fr Okt 27 23:26:38 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SSN80MU8CWDQ6NRR36U7J3BC37KX8,30JNVC0ORAS523J1P6D7O3NAXNIQH9,0,Submitted,Do Sep 28 16:17:16 MESZ 2017,Mi Sep 27 23:31:23 MESZ 2017,Mi Sep 27 23:37:16 MESZ 2017,,,,,,undefined,5.803766666666666,[]
0,90213:76,"he was, used --n4006f9 to be a reporter for, uh, i think --n400728, the new york times, or the washington post, one of the two,","[None, False]",5,English,1,Female,28,,Yes,1,2,Windows,864,1536,Chrome,3SSN80MU8CWDQ6NRR36U7J3BC37KX8,3S0VMPP5OFFXGYWALVBBRZW437UKX5,Modify sentences - pilot,You&quotecharll read some sentences and insert something at a certain position,language research stanford,$1.50,Mi Sep 27 23:26:38 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fr Okt 27 23:26:38 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SSN80MU8CWDQ6NRR36U7J3BC37KX8,30JNVC0ORAS523J1P6D7O3NAXNIQH9,0,Submitted,Do Sep 28 16:17:16 MESZ 2017,Mi Sep 27 23:31:23 MESZ 2017,Mi Sep 27 23:37:16 MESZ 2017,,,,,,undefined,5.803766666666666,[]
0,,NA,"[None, False]",6,English,1,Female,28,,Yes,1,2,Windows,864,1536,Chrome,3SSN80MU8CWDQ6NRR36U7J3BC37KX8,3S0VMPP5OFFXGYWALVBBRZW437UKX5,Modify sentences - pilot,You&quotecharll read some sentences and insert something at a certain position,language research stanford,$1.50,Mi Sep 27 23:26:38 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fr Okt 27 23:26:38 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SSN80MU8CWDQ6NRR36U7J3BC37KX8,30JNVC0ORAS523J1P6D7O3NAXNIQH9,0,Submitted,Do Sep 28 16:17:16 MESZ 2017,Mi Sep 27 23:31:23 MESZ 2017,Mi Sep 27 23:37:16 MESZ 2017,,,,,,undefined,5.803766666666666,[]
0,1786:119,"i think it&quotechars kind of absurd, you know, the fact that, you know, they don&quotechart really, they don&quotechart really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them.","[u'i think it&quotechars kind of absurd, you know, the fact that, you know, they don&quotechart really, they don&quotechart really give, you know, the original artist, or the original composer, the credit that  is really due to them<font color=red> but not both. </font>', True]",7,English,1,Female,28,,Yes,1,2,Windows,864,1536,Chrome,3SSN80MU8CWDQ6NRR36U7J3BC37KX8,3S0VMPP5OFFXGYWALVBBRZW437UKX5,Modify sentences - pilot,You&quotecharll read some sentences and insert something at a certain position,language research stanford,$1.50,Mi Sep 27 23:26:38 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fr Okt 27 23:26:38 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SSN80MU8CWDQ6NRR36U7J3BC37KX8,30JNVC0ORAS523J1P6D7O3NAXNIQH9,0,Submitted,Do Sep 28 16:17:16 MESZ 2017,Mi Sep 27 23:31:23 MESZ 2017,Mi Sep 27 23:37:16 MESZ 2017,,,,,,undefined,5.803766666666666,[]
0,15459:47,"i think i had some other, uh, like staying in shape or working out.","[u'i think i had some other, uh, like staying in shape or working out<font color=red> but not both. </font>', False]",8,English,1,Female,28,,Yes,1,2,Windows,864,1536,Chrome,3SSN80MU8CWDQ6NRR36U7J3BC37KX8,3S0VMPP5OFFXGYWALVBBRZW437UKX5,Modify sentences - pilot,You&quotecharll read some sentences and insert something at a certain position,language research stanford,$1.50,Mi Sep 27 23:26:38 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fr Okt 27 23:26:38 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SSN80MU8CWDQ6NRR36U7J3BC37KX8,30JNVC0ORAS523J1P6D7O3NAXNIQH9,0,Submitted,Do Sep 28 16:17:16 MESZ 2017,Mi Sep 27 23:31:23 MESZ 2017,Mi Sep 27 23:37:16 MESZ 2017,,,,,,undefined,5.803766666666666,[]
0,174875:45,"then do they give you like one ch-, one more chance or two more chances.","[u'then do they give you like one ch-, one more chance or two more chances<font color=red> but not both. </font>', True]",9,English,1,Female,28,,Yes,1,2,Windows,864,1536,Chrome,3SSN80MU8CWDQ6NRR36U7J3BC37KX8,3S0VMPP5OFFXGYWALVBBRZW437UKX5,Modify sentences - pilot,You&quotecharll read some sentences and insert something at a certain position,language research stanford,$1.50,Mi Sep 27 23:26:38 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fr Okt 27 23:26:38 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SSN80MU8CWDQ6NRR36U7J3BC37KX8,30JNVC0ORAS523J1P6D7O3NAXNIQH9,0,Submitted,Do Sep 28 16:17:16 MESZ 2017,Mi Sep 27 23:31:23 MESZ 2017,Mi Sep 27 23:37:16 MESZ 2017,,,,,,undefined,5.803766666666666,[]
0,102716:9,"one or two times in my life i&quotecharve ever had venison --n406316, i&quotecharve loved it.","[u'one or two times in my life i&quotecharve ever had venison , i&quotecharve loved it<font color=red> but not both. </font>', True]",10,English,1,Female,28,,Yes,1,2,Windows,864,1536,Chrome,3SSN80MU8CWDQ6NRR36U7J3BC37KX8,3S0VMPP5OFFXGYWALVBBRZW437UKX5,Modify sentences - pilot,You&quotecharll read some sentences and insert something at a certain position,language research stanford,$1.50,Mi Sep 27 23:26:38 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fr Okt 27 23:26:38 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SSN80MU8CWDQ6NRR36U7J3BC37KX8,30JNVC0ORAS523J1P6D7O3NAXNIQH9,0,Submitted,Do Sep 28 16:17:16 MESZ 2017,Mi Sep 27 23:31:23 MESZ 2017,Mi Sep 27 23:37:16 MESZ 2017,,,,,,undefined,5.803766666666666,[]
0,93711:49,"you may meet people, you know, thirty years older --n4054de than you, or younger,","[u'one or two times in my life i&quotecharve ever had venison , i&quotecharve loved it<font color=red> but not both. </font>', False]",11,English,1,Female,28,,Yes,1,2,Windows,864,1536,Chrome,3SSN80MU8CWDQ6NRR36U7J3BC37KX8,3S0VMPP5OFFXGYWALVBBRZW437UKX5,Modify sentences - pilot,You&quotecharll read some sentences and insert something at a certain position,language research stanford,$1.50,Mi Sep 27 23:26:38 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fr Okt 27 23:26:38 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SSN80MU8CWDQ6NRR36U7J3BC37KX8,30JNVC0ORAS523J1P6D7O3NAXNIQH9,0,Submitted,Do Sep 28 16:17:16 MESZ 2017,Mi Sep 27 23:31:23 MESZ 2017,Mi Sep 27 23:37:16 MESZ 2017,,,,,,undefined,5.803766666666666,[]
0,6465:51,"uh, and, and i would certainly support something like four to one or five to one","[u'uh, and, and i would certainly support something like four to one or five to one<font color=red> but not both. </font>', False]",12,English,1,Female,28,,Yes,1,2,Windows,864,1536,Chrome,3SSN80MU8CWDQ6NRR36U7J3BC37KX8,3S0VMPP5OFFXGYWALVBBRZW437UKX5,Modify sentences - pilot,You&quotecharll read some sentences and insert something at a certain position,language research stanford,$1.50,Mi Sep 27 23:26:38 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fr Okt 27 23:26:38 MESZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3SSN80MU8CWDQ6NRR36U7J3BC37KX8,30JNVC0ORAS523J1P6D7O3NAXNIQH9,0,Submitted,Do Sep 28 16:17:16 MESZ 2017,Mi Sep 27 23:31:23 MESZ 2017,Mi Sep 27 23:37:16 MESZ 2017,,,,,,undefined,5.803766666666666,[]
