TGrepID	EntireSentence	BNBClosestToOr	ComparisonSentence
1786:119	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that is really due to them.	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer but not both, the credit that  is really due to them.	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that  is really due to them but not both.
174254:56	i wonder, i wonder how, how the civil system or the court system must differ between there and say where i am in minneapolis.	i wonder, i wonder how, how the civil system or the court system but not both must differ between there and say  where i am  in minneapolis .	i wonder, i wonder how, how the civil system or the court system must differ between there and say  where i am  in minneapolis but not both .
145577:99	um, i might try that because i, i have one card that i've had for about, uh, i don't know, nine or ten years.	um, i might try that because i, i have one card that i've had  for about, uh, i don't know, nine or ten but not both years.	um, i might try that because i, i have one card that i've had  for about, uh, i don't know, nine or ten years but not both.
62903:64	and it kind of has to start from the top and, and go clea-, or from the bottom maybe and go clear up.	and it kind of has  to start from the top and, and go clea-, or from the bottom but not both maybe and go clear up.	and it kind of has  to start from the top and, and go clea-, or from the bottom maybe and go clear up but not both.
156317:102	all we, all i do is, uh, keep a list of things like debts that are outstanding and every two or three months update that and every once in a while make a list of what we spent that month,	all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three but not both months update that and every once in a while make a list of what we spent  that month,	all we, all i do  is, uh, keep a list of things like debts that  are outstanding and every two or three months update that and every once in a while make a list of what we spent  that month but not both,
102716:9	one or two times in my life i've ever had venison, i've loved it.	one or two times but not both in my life i've ever had venison , i've loved it.	one or two times in my life i've ever had venison , i've loved it but not both.
116776:42	i, i mean i could have had that or a down payment on a new car	i, i mean i could have had that or a down payment but not both on a new car	i, i mean i could have had that or a down payment on a new car but not both.
36021:57	and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy.	and, and there's probably, there's easily probably six or seven times but not both that amount being spent on the bureaucracy.	and, and there's probably, there's easily probably six or seven times that amount being spent on the bureaucracy but not both.
16299:25	you have to cut each thing or, you know, use the melon baller and stuff	you have  to cut each thing or, you know but not both, use the melon baller and stuff	you have  to cut each thing or, you know, use the melon baller and stuff but not both.
71989:47	just, because yo-, you don't like to or because, because you won't be able to.	just, because yo-, you don't like  to or because but not both, because you won't be able  to.	just, because yo-, you don't like  to or because, because you won't be able  to but not both.
165394:22	do you have a two income family or one income.	do you have a two income family or one but not both income.	do you have a two income family or one income but not both.
90213:76	he was, used to be a reporter for, uh, i think, the new york times, or the washington post, one of the two,	he was, used  to be a reporter for, uh, i think , the new york times, or the washington post but not both, one of the two,	he was, used  to be a reporter for, uh, i think , the new york times, or the washington post, one of the two but not both,
60507:76	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them,	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper but not both for them,	you see all these people, yeah, these stately people, and well dressed people out walking their dogs with their plastic bag or their piece of paper for them but not both,
29727:27	and it usually takes long stitches over two or three openings in the cloth	and it usually takes long stitches over two or three but not both openings in the cloth	and it usually takes long stitches over two or three openings in the cloth but not both.
12168:38	you should, uh, pursue that i think, or patent it, you know.	you should, uh, pursue that i think , or patent but not both it, you know.	you should, uh, pursue that i think , or patent it, you know but not both.
176953:48	they always like to be able to attract the, uh, einsteins or the professor chou	they always like  to be able  to attract the, uh, einsteins or the professor but not both chou	they always like  to be able  to attract the, uh, einsteins or the professor chou but not both.
7684:47	i don't know how long it takes whether it takes five minutes or twenty minutes.	i don't know how long it takes  whether it takes five minutes or twenty but not both minutes.	i don't know how long it takes  whether it takes five minutes or twenty minutes but not both.
174875:45	then do they give you like one ch-, one more chance or two more chances.	then do they give you like one ch-, one more chance or two but not both more chances.	then do they give you like one ch-, one more chance or two more chances but not both.
74742:45	and then the states that either don't adopt on a state wide basis or don't have as many kids, just have to follow along and take what texas gets.	and then the states that  either don't adopt on a state wide basis or don't have as many kids but not both, just have  to follow along and take what texas gets .	and then the states that  either don't adopt on a state wide basis or don't have as many kids, just have  to follow along and take what texas gets but not both .
106986:61	and we intend to replace our other one with a much newer car in the next couple of years, or next year probably.	and we intend  to replace our other one with a much newer car in the next couple of years, or next year but not both probably.	and we intend  to replace our other one with a much newer car in the next couple of years, or next year probably but not both.
156661:22	anyway, i dealt with two or three kids today that are going to end up where somebody has, making a decision what to do with them.	anyway, i dealt with two or three kids  today but not both that  are going  to end up where somebody has, making a decision what to do  with them .	anyway, i dealt with two or three kids  today that  are going  to end up where somebody has, making a decision what to do  with them but not both .
33856:25	i try to go real late or real early before they get there.	i try  to go real late or real early but not both before they get there.	i try  to go real late or real early before they get there but not both.
68309:44	and maybe, now, i don't remember if thisa is texas or not, that has something about all drug dealers can be sentenced to the death sentence.	and maybe, now, i don't remember if this  is texas or not but not both, that  has something about all drug dealers can be sentenced  to the death sentence.	and maybe, now, i don't remember if this  is texas or not, that  has something about all drug dealers can be sentenced  to the death sentence but not both.
101686:71	usually, you know, you'll find a, a woman that's keeping like six children or four to six children in the home	usually, you know, you'll find a, a woman that 's keeping like six children or four to six children but not both in the home	usually, you know, you'll find a, a woman that 's keeping like six children or four to six children in the home but not both.
25522:55	i guess, the first time i played golf has been probably about eight or ten years ago now, when i was in college.	i guess, the first time i played golf  has been probably about eight or ten years ago but not both now, when i was in college .	i guess, the first time i played golf  has been probably about eight or ten years ago now, when i was in college but not both .
89425:17	and, the first five minutes or ten minutes of the movie was, i was very well persuaded to walk out. very well persuaded,	and, the first five minutes or ten minutes but not both of the movie was, i was very well persuaded  to walk out. very well persuaded,	and, the first five minutes or ten minutes of the movie was, i was very well persuaded  to walk out. very well persuaded but not both,
19248:44	uh, but, of course, the people who have challenged that or tried to do, on-, have cor-, have not been world powers.	uh, but, of course, the people who  have challenged that or tried  to do, on- but not both, have cor-, have not been world powers.	uh, but, of course, the people who  have challenged that or tried  to do, on-, have cor-, have not been world powers but not both.
130233:71	now, you know, i mean somebody, a s-, s-, serial killer or somebody goes in and machine guns, you know, fifty, fifty children in a school yard,	now, you know, i mean somebody, a s-, s-, serial killer or somebody goes in and machine guns but not both, you know, fifty, fifty children in a school yard,	now, you know, i mean somebody, a s-, s-, serial killer or somebody goes in and machine guns, you know, fifty, fifty children in a school yard but not both,
35393:113	that, uh, in addition to getting a new car there, they can get you a car that's new but it's been, uh, a demonstrator model for two or three thousand dollars even cheaper than the best deal they can give you for a new car.	that, uh, in addition to getting a new car there, they can get you a car that 's new but  it's been, uh, a demonstrator model for two or three thousand dollars but not both even cheaper than the best deal they can give you  for a new car.	that, uh, in addition to getting a new car there, they can get you a car that 's new but  it's been, uh, a demonstrator model for two or three thousand dollars even cheaper than the best deal they can give you  for a new car but not both.
165868:35	and they only have one set of recycling bins, one or two sets as opposed to a set at each of the dumpsters.	and they only have one set of recycling bins, one or two sets but not both as opposed to a set at each of the dumpsters.	and they only have one set of recycling bins, one or two sets as opposed to a set at each of the dumpsters but not both.
170155:23	do you work for a big or a little place.	do you work for a big  or a little but not both  place.	do you work for a big  or a little  place but not both.
98373:34	and, uh, with luck, you'll have one or two thatc are good.	and, uh, with luck, you'll have one or two but not both that  are good.	and, uh, with luck, you'll have one or two that  are good but not both.
127140:45	and then there's kind of the, the branch manager level or marketing people that kind of do that middle thing.	and then there's kind of the, the branch manager level or marketing people but not both that  kind of do that middle thing.	and then there's kind of the, the branch manager level or marketing people that  kind of do that middle thing but not both.
55403:21	but by no means do i endorse or approve pulling everybody out.	but by no means do i endorse or approve but not both pulling everybody out.	but by no means do i endorse or approve pulling everybody out but not both.
50849:39	i don't know if it's a government run or if it's a private charity that's put it together.	i don't know if it's a government run   or if it's a private   charity but not both that 's put it together.	i don't know if it's a government run   or if it's a private   charity that 's put it together but not both.
104835:34	at the time it was still, oh, about forty or fifty cents a pound,	at the time it was still, oh, about forty or fifty but not both cents a pound,	at the time it was still, oh, about forty or fifty cents a pound but not both,
69804:37	so they have to start talking about it, or getting their act together about six months ahead to get in touch with everybody, because they're rather socially active too.	so they have  to start  talking about it, or getting their act together but not both about six months ahead to get in touch with everybody, because they're rather socially active too.	so they have  to start  talking about it, or getting their act together about six months ahead to get in touch with everybody, because they're rather socially active too but not both.
89972:27	have you looked at any homes for them or talked to them about that.	have you looked at any homes for them or talked to them but not both about that.	have you looked at any homes for them or talked to them about that but not both.
6435:41	i don't even remember if it was in the dallasite or the insite one, about uh, companies allowing you,	i don't even remember if it was in the dallasite  or the insite  one but not both, about uh, companies allowing you,	i don't even remember if it was in the dallasite  or the insite  one but not both, about uh, companies allowing you,
154907:14	mumblex is one or two timer a year if i do go on them	mumblex is one or two but not both timer a year if i do go on them	mumblex is one or two timer a year but not both if i do go on them
51672:30	do you have any l-, nieces or nephews then.	do you have any l-, nieces or nephews but not both then.	do you have any l-, nieces or nephews then but not both.
59808:31	in defense of myself, defense of my family or defense of my friends i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and sonf.	in defense of myself, defense of my family or defense of my friends but not both i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and son .	in defense of myself, defense of my family or defense of my friends but not both i can blow somebody a way in a heart beat. even, even more so when it comes to my, my wife and son .
38666:43	and then i, i get distracted, and, or have to start on another one,	and then i, i get distracted , and, or have  to start on another but not both one,	and then i, i get distracted , and, or have  to start on another one but not both,
82987:41	and i think a lot of people either, don't care, or don't realize it, you know.	and i think a lot of people either, don't care, or don't realize but not both it, you know.	and i think a lot of people either, don't care, or don't realize it but not both, you know.
23901:7	sole or flounder is real good.	sole or flounder but not both is real good.	sole or flounder is real good but not both.
163278:40	oh, i think, i think two or three minutes is fine.	oh, i think, i think two or three minutes but not both is fine.	oh, i think, i think two or three minutes is fine but not both.
170132:31	but for me, i only do that every week or, without even, i mean, maybe once a month.	but for me, i only do that every week or, without even but not both, i mean, maybe once a month.	but for me, i only do that every week or, without even, i mean, maybe once a month but not both.
168929:25	either you have, uh, military service or some sort of alternative, nonmilitary service for a few years.	either you have, uh, military service or some sort of alternative, nonmilitary but not both service for a few years.	either you have, uh, military service or some sort of alternative, nonmilitary service for a few years but not both.
22745:68	and the first thing i caught was a sand shark, which was probably a foot, and a half or, uh, two feet long,	and the first thing i caught  was a sand shark, which  was probably a foot, and a half or, uh but not both, two feet long,	and the first thing i caught  was a sand shark, which  was probably a foot, and a half or, uh, two feet long but not both,
71894:104	but i feel guilty for not going, because i really i'm, i'm so used to going for, you know, three or four years now.	but i feel guilty for  not going, because i really i'm, i'm so used to  going for, you know, three or four but not both years now.	but i feel guilty for  not going, because i really i'm, i'm so used to  going for, you know, three or four years now but not both.
23449:67	and maybe instead of, of, uh, just kind of blowing it off just spend a day or a day and a half like most folks do, maybe we should commit to spend a week,	and maybe instead of, of, uh, just kind of blowing it off just spend a day or a day and a half but not both like most folks do, maybe we should commit  to spend a week,	and maybe instead of, of, uh, just kind of blowing it off just spend a day or a day and a half like most folks do, maybe we should commit  to spend a week but not both,
26474:25	in our parking lots, uh, two or three days ago i saw one of the new honda sports cars.	in our parking lots, uh, two or three days but not both ago i saw one of the new honda sports cars.	in our parking lots, uh, two or three days ago but not both i saw one of the new honda sports cars.
139777:33	that's pretty much the south end of the state, or the southern quarter of the state, anyway..	that's pretty much the south end of the state, or the southern quarter of the state but not both, anyway..	that's pretty much the south end of the state, or the southern quarter of the state, anyway. but not both.
3087:28	is that with regard to work place engineering, or just, you know, environm-, the work place environment	is that with regard to work place engineering, or just, you know, environm- but not both, the work place environment	is that with regard to work place engineering, or just, you know, environm-, the work place environment but not both.
128452:34	within reason, you know, you can lose weight or maintain your weight and your physical being	within reason, you know, you can lose weight or maintain but not both your weight and your physical being	within reason, you know, you can lose weight or maintain your weight and your physical being but not both.
2067:114	and i made a lotus spreadsheet and went through the year using all of our, our checkbook to figure out what we spent each time and whether we were over or under for each month	and i made a lotus spreadsheet and went through the year  using all of our, our checkbook  to figure out what we spent  each time and whether we were over or under but not both for each month	and i made a lotus spreadsheet and went through the year  using all of our, our checkbook  to figure out what we spent  each time and whether we were over or under for each month but not both.
9023:22	i think i had three or four seeds in each one of them,	i think i had three or four seeds but not both in each one of them,	i think i had three or four seeds in each one of them but not both,
174455:39	the only commitments that they're interested inb making or even talking aboutd are ones for flash value like, uh, the trip to mars. which is, would, would produce some useful scientific research and so forth,	the only commitments that they're interested in  making  or even talking about but not both  are ones for flash value like, uh, the trip to mars. which  is, would, would produce some useful scientific research and so forth,	the only commitments that they're interested in  making  or even talking about  are ones for flash value like, uh, the trip to mars. which  is, would, would produce some useful scientific research and so forth but not both,
152062:17	you maybe get two or three a year.	you maybe get two or three but not both a year.	you maybe get two or three a year but not both.
22409:25	and, uh, i have caught one or two small sharks	and, uh, i have caught one or two but not both small sharks	and, uh, i have caught one or two small sharks but not both.
153824:74	around this time of year you expect it up here to get down to about, uh, i don't know, ten or twenty degrees	around this time of year you expect it up here to get down to about, uh, i don't know, ten or twenty but not both degrees	around this time of year you expect it up here to get down to about, uh, i don't know, ten or twenty degrees but not both.
135677:7	saturday or sunday they were saying,	saturday or sunday but not both they were saying ,	saturday or sunday they were saying but not both ,
139418:63	i'm in favor of very little clean up, um, very little planning because we've got three or four couples that we get together with to play games,	i'm in favor of very little clean up, um, very little planning because we've got three or four but not both couples that we get together with   to play games,	i'm in favor of very little clean up, um, very little planning because we've got three or four couples that we get together with   to play games but not both,
133422:57	um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax cutting you can do without, uh, bringing on, on serious problems for the longer term.	um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax but not both cutting you can do  without, uh,  bringing on, on serious problems for the longer term.	um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax cutting you can do  without, uh,  bringing on, on serious problems for the longer term but not both.
126911:45	now, that's one i have watched, oh, six or eight times.	now, that's one i have watched , oh, six or eight but not both times.	now, that's one i have watched , oh, six or eight times but not both.
84362:25	but ita has been about three or four years of, uh, uh, playing around with flowers to de-, decide which ones actually grow here.	but it  has been about three or four years but not both of, uh, uh, playing around with flowers to de-, decide which ones  actually grow here.	but it  has been about three or four years of, uh, uh, playing around with flowers to de-, decide which ones  actually grow here but not both.
91686:57	when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going to be doing anything for a while, um,	when if, if i have long periods of time, like christmas vacation, or, you know, when i but not both know i'm not going  to be doing anything for a while , um,	when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going  to be doing anything for a while , um but not both,
163402:100	we, that's been an, a, an issue, uh, in our company even though we don't have the random or even regular drug screening.	we, that's been an, a, an issue, uh, in our company even though we don't have the random  or even but not both regular  drug screening.	we, that's been an, a, an issue, uh, in our company even though we don't have the random  or even regular  drug screening but not both.
38800:88	you know, it's, it's so easy to get caught up on reading just for your work, or, you know, self improvement,	you know, it's, it 's so easy to get caught  up on reading just for your work, or, you know but not both, self improvement,	you know, it's, it 's so easy to get caught  up on reading just for your work, or, you know, self improvement but not both,
117429:39	so you're all back to the safety catches and the whole nine yards or either watching them every minute.	so you're all back to the safety catches and the whole nine yards or either watching them but not both every minute.	so you're all back to the safety catches and the whole nine yards or either watching them every minute but not both.
44437:69	i think they tend to be more educated, much more, educated than, than africa or the latin american countries.	i think they tend  to be more educated, much more, educated than, than africa or the latin american but not both countries.	i think they tend  to be more educated, much more, educated than, than africa or the latin american countries but not both.
136418:78	and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture, uh, you get little spider web cracks all around, uh, windows and doors.	and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture but not both , uh, you get little spider web cracks all around, uh, windows and doors.	and, uh, but anytime there's a change in the weather, like the temperature, drastic changes in temperature or in, uh, moisture , uh, you get little spider web cracks all around, uh, windows and doors but not both.
32096:57	i guess they, they say you can plant them in the spring or the fall, all.	i guess they, they say you can plant them in the spring or the fall but not both, all.	i guess they, they say you can plant them in the spring or the fall, all but not both.
74544:45	do youself have children wi-, who are or have been through the public school system.	do youself have children wi-, who  are  or have but not both been  through the public school system.	do youself have children wi-, who  are  or have been  through the public school system but not both.
155153:30	uh, well i think, either my wife or i would like to pursue advanced degrees at some point	uh, well i think, either my wife or i but not both would like  to pursue advanced degrees at some point	uh, well i think, either my wife or i would like  to pursue advanced degrees at some point but not both.
125982:22	my electrical system shorted out like two or three times,	my electrical system shorted out like two or three but not both times,	my electrical system shorted out like two or three times but not both,
