TGrepID	EntireSentence	context	BestResponse
173411:18	and then they have naps or rest period.	###I think -NONE- if they 're going -N403B14 to be there all day , they should find time . E_S ###One of my daughters , once , was out of school with Mono in her junior year I think -NONE- it was -N403C56 . E_S ###And she had a home teacher for like four hours a week E_S ###and when she went back in six weeks -N403DE9 , she was ahead . E_S ###So what does that tell you -N403E9A . E_S ###SpeakerB96*t96 . ###Is that right . E_S ###SpeakerA97*t97 . ###It tells you -NONE- there 's a whole lot of wasted time . E_S ###SpeakerB98*t98 . ###Oh , my gosh . E_S ###SpeakerA99*t98 . ###SpeakerB100*t100 . ###Oh , my gosh . E_S ###SpeakerA101*t101 . ###And they could be using this time better . E_S ###SpeakerB102*t102 . ###Well , for example , in my son 's kindergarten . They 're really finished at lunch time . E_S ###After lunch , they have some , uh , E_S ###I 'm trying -N404207 to think if they have recess after lunch , E_S 	and then they have naps or rest period but not both.
102220:49	that sounds like not as recent social changes, too, like back to the sixties or fifties, i guess.	###-NONE- Seems like usually , E_S ###SpeakerA8*t8 . ###I 've had some from Plano , too . E_S ###SpeakerB9*t9 . ###Oh yeah . E_S ###I think -NONE- all mine have been East Coast people so far . E_S ###SpeakerA10*t10 . ###Uh-huh . E_S ###Okay E_S ###SpeakerB11*t11 . ###So , E_S ###SpeakerA12*t12 . ###um , -NONE- let 's see . E_S ###SpeakerB13*t13 . ###\[ S- , \+ social \] changes , E_S ###SpeakerA14*t14 . ###Social changes . E_S ###SpeakerB15*t15 . ###what 's that mean -N400502 . . E_S ###SpeakerA16*t16 . 	that sounds like not as recent social changes , too, like back to the sixties or fifties but not both, i guess .
48293:58	i guess i have never heard of a, a robbery being foiled or spoiled because the person whoe's being robbed had a gun.	###\[ I , \+ I , \] \+ I \] agree with that . E_S ###SpeakerA17*t17 . ###\[ And \+ but , \] E_S ###SpeakerB18*t18 . ###\[ I , \+ I \] think that \[ the , \+ the \] law \[ is \+ \] on who -N401277 can buy a gun \[ are , \+ are \] way too lax . E_S ###SpeakerA19*t19 . ###Uh-huh , E_S ###exactly . E_S ###SpeakerB20*t20 . ###\[ I think that , \+ I think that \] the , E_S ###SpeakerA21*t21 . ###And , so , I think -NONE- that kind of control \[ is , \+ would be \] good , E_S ###SpeakerB22*t22 . ###Yeah . E_S ###SpeakerA23*t23 . ###but the , uh , E_S ###\[ I , \+ you know , I 'm \] trying -N401651 \[ to think of how many times you make the statement -N401680 and , \+ \] just to kind of exam it a little bit E_S ###and \[ I , \+ I \] know that any statement in absoluteness is not necessarily true , uh , E_S ###only the guns were in the hands of the criminals , E_S ###but how many times , E_S 	i guess i have never heard of a, a robbery being foiled  or spoiled but not both  because the person who 's being robbed  had a gun.
167079:57	like for petty, for theft and, and stuff like that or manslaughter, you know, i don't think they should do that.	###I do n't think -NONE- it should just be used -N400420 loosely . E_S ###SpeakerA5*t5 . ###Well , it should be used -N4004C2 as a deterrent do you think -NONE- -N4004E5 . E_S ###SpeakerB6*t6 . ###Well , E_S ###SpeakerA7*t7 . ###Or should it be used -N4005AC , uh , \[ a- , \+ \] -NONE- to prevent further , uh , crime . E_S ###Huh . E_S ###SpeakerB8*t8 . ###Yes , E_S ###yes . E_S ###-NONE- To prevent these people from -N400702 ever getting out on the street . By , you know , some technicality . E_S ###SpeakerA9*t8 . ###SpeakerB10*t10 . ###And they go down the line ten years E_S ###and then on some little technicality they get out and on the streets again -N400899 doing the same -NONE- they did -N4008B8 before . E_S ###SpeakerA11*t11 . ###Uh-huh . E_S ###SpeakerB12*t12 . ###And , you know , that 's about the only thing . E_S 	like for petty, for theft and, and stuff like that or manslaughter but not both, you know, i don't think they should do that.
115588:11	and the mailman or karl malone was, you know, pretty big thing	###SpeakerB8*t8 . ###Right . E_S ###We have like Carolina , and Duke , and Georgia Tech , and N C State , teams that -N10630 are normally ranked -N10643 in the top twenty . E_S ###SpeakerA9*t9 . ###Uh-huh . E_S ###SpeakerB10*t10 . ###So , hopefully we 'll have a good year . E_S ###I do n't really follow the N B A very closely . E_S ###SpeakerA11*t11 . ###And see that 's probably \[ all , \+ all \] -NONE- I saw -N10873 . E_S ###\[ I , \+ we \] have moved in the last couple years from Utah to Texas E_S ###and there 's so many colleges and universities in Texas , E_S ###we have n't really followed them too much E_S ###and none of them are \[ our , \+ our \] alma mater E_S ###so , that seems -N10B7A to help . E_S ###SpeakerB12*t12 . ###Do you like professional basketball . E_S ###SpeakerA13*t13 . ###Uh , \[ I , \+ I \] follow it especially around the playoffs , E_S ###so , course , I was real familiar with the Utah Jazz , E_S 	and the mailman or karl malone but not both was, you know, pretty big thing
132601:54	well, it, it's just like having taxes on, or exemptions for kids, you know.	###\[ I , \+ I \] think , uh , you know , -NONE- generally the prices of cars have gotten out of line , which -N40248B is , uh , you know . E_S ###SpeakerB24*t24 . ###Oh , sure . E_S ###SpeakerA25*t25 . ###And , uh , I guess -NONE- if people got thirty , forty thousand bucks -NONE- -NONE- to spend -N402676 on a car , uh , that 's their prerogative , you know . E_S ###\[ I , \+ I , \] \+ I \] do n't have a whole of sympathy on that . E_S ###\[ You , \+ maybe you \] buy that , you know , E_S ###and I do n't mean -N40299D to be knocking , uh , E_S ###SpeakerB26*t26 . ###No , E_S ###uh , no , E_S ###I have n't -NONE- , E_S ###but \[ it , \+ it \] \+ to me it -N402AD9 \] seems really interesting that they come along and add another ten percent tax , uh , on top of it . E_S ###And there 's an awful lot of cars that -N402C8B cost more than thirty thousand . E_S ###SpeakerA27*t27 . ###Yeah , E_S ###there are -NONE- , E_S ###there are -NONE- . E_S ###And the idea of that kind of taxation is -NONE- to have people think twice on -NONE- putting their money into that , I guess -NONE- -N402E36 , you know , unless they really want it , E_S ###buy something that , you know , more , E_S 	well, it, it's just like having taxes on , or exemptions for  kids but not both, you know.
24736:40	and are you talking about public schools being lower level, high school level or state school.	###I think so . E_S ###Yeah , E_S ###seven twenty-five . E_S ###SpeakerA97*t97 . ###Okay . E_S ###SpeakerB98*t98 . ###Okay , E_S ###nice -NONE- speaking to you . E_S ###SpeakerA99*t99 . ###Nice -NONE- talking to you . E_S ###Bye-bye E_S ###SpeakerB100*t100 . ###Bye . E_S ###SpeakerA101*t100 . ###SpeakerA1*t1 . ###\[ It 's , \+ it 's \] hard topic because E_S ###\[ is , \+ is , \] \+ is \] it doing a good job or a bad job E_S ###and you got -N40018F to divide it two different categories whether you live in the city or whether you live in a more rural place like I do . E_S ###SpeakerB2*t2 . ###Yeah , E_S 	and are you talking about public schools being lower level, high school level or state school but not both.
108224:44	but then we're back to being warmer than normal this week, or last week,	###Yeah , E_S ###it 's kind of hazardous for driving E_S ###SpeakerB32*t32 . ###Yes . E_S ###SpeakerA33*t33 . ###that 's for sure . E_S ###But I ca n't complain . E_S ###I do n't know if I 've been spoiled . E_S ###I 've been -N401BD3 thinking -NONE- it 's getting cold -NONE- sooner than normal . E_S ###We 've only lived here a couple of years . E_S ###SpeakerB34*t34 . ###I think -NONE- it is -NONE- , E_S ###and my family said that in Ohio there was just an article -N401DCA on , at the T V news that they are three weeks ahead of schedule as far as the coldness of the temperatures and , uh , the first frost , E_S ###SpeakerA35*t35 . ###Huh . E_S ###SpeakerB36*t36 . ###everything just happened three weeks early this year . E_S ###SpeakerA37*t37 . ###We 'll have -N402038 to see how it goes -N402053 , E_S ###a couple of weeks ago we were cooler than normal , E_S 	but then we're back to being warmer than normal this week, or last week but not both,
37011:85	but gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government that, nor eliminating or diminishing the communist power,	###I think -NONE- Gorbachev realizes that he 's got \[ a , \+ a \] major uh , uh , power figure , you know , competing against him , E_S ###and I think -NONE- it 's going -N401BA5 to be pretty close to his demise if he does n't follow suit with Yeltsin as far as , uh , -NONE- realizing , E_S ###well , he does realize it , you know , with the fact that \[ they reduced the \+ uh , or they , increased the \] prices on their \[ food , \+ food \] and goods . E_S ###SpeakerA17*t17 . ###Uh-huh . E_S ###SpeakerB18*t18 . ###Uh . It , E_S ###SpeakerA19*t19 . ###I think that it went up a thousand percent on most , E_S ###SpeakerB20*t20 . ###yeah . E_S ###\[ Tha- , \+ that 's \] incredible E_S ###but they had -N402081 to , uh , go in the direction of a market driven economy , E_S ###\[ and , \+ and \] they had -N402164 to bite the bullet for that . E_S ###So that 's a good move , \[ on , \+ on \] Gorbachev 's part in -NONE- doing that . E_S ###SpeakerA21*t21 . ###Uh-huh . E_S ###SpeakerB22*t22 . ###So , E_S ###SpeakerA23*t23 . 	but gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government that, nor eliminating or diminishing the communist power but not both,
91239:28	would you, uh, advise a private school, or a public school,	###I always , you know , tell them that you should major in something -NONE- \[ you , \+ you 're \] going -N402D50 to get good grades in -N402D6B . Because \[ that , \+ that 's \] always , I think , more important , you know , overall . E_S ###SpeakerB44*t44 . ###Yeah . E_S ###SpeakerA45*t45 . ###I do n't know . E_S ###SpeakerB46*t46 . ###Uh , -NONE- give me five minutes . E_S ###SpeakerA47*t47 . ###Yeah . E_S ###Oh , \[ you , \+ you 're \] at the office now . E_S ###SpeakerB48*t48 . ###Yeah . E_S ###SpeakerA49*t49 . ###At work . E_S ###Yeah . E_S ###SpeakerB50*t50 . ###Yeah . E_S ###I 'm just getting ready -N4031AE to go to lunch . E_S ###Uh , yeah , E_S ###that 's like what we were saying -N403288 , though , E_S 	would you, uh, advise a private school, or a public school but not both,
