Item_ID	Sentence
137:48	you know, whether it was just, you know, giving money or whether it was actually taking part in a lot, of the decision making, you know, like --n40343b finding a proper nursing home.
225:152	i mean, i, i, i di-, i don't know how i would, how i would deal --n405049 if one of my parents came with, with alzheimer's. or something like, that which --n4050a4 is, which --n4050b7 is far more devastating.
362:41	that's just a matter of defining priorities, i guess or some priorities anyway.
497:5	suits or slacks, you know, jeans, whatever.
704:3	or is it just suspenseful.
708:51	i mean, there's not really any, uh, blood and guts --n401fff in it or anything like that.
732:32	anyway, it's on from seven to nine, or something.
737:58	they've got, uh, they've got a couple of kids, ten or twelve years old,
756:3	or did he just do it.
766:47	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy.
886:75	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way --n401185 to just hang up on it --n4011a4 --n4011ab.
888:26	from, from personal parties or from these, um, phone answer, phone, uh, commercial things.
927:63	and, i mean, you know, the classic, oh, i don't know c i a conspiracy theories or whatever, would have such parties --n4026e2 trying --n4026ed to do it without your knowledge.
935:58	i don't think i'd like the k g b is monitoring my phone or anything like that.
961:38	uh, i guess it comes from a sense of fact or facts
967:82	um, the, the other side of that might be if, if someone found out something --n403a7d or surmised something --n403a90 that --n403a9b weren't true then i would feel probably more invaded in the gossipy sort of sense.
971:23	ev-, more harmed or something.
997:14	so, or if my call rate of, of eight t-, or so a week went up even higher because, uh, someone had, had,
997:68	so, or if my call rate of, of eight t-, or so a week went up even higher because, uh, someone had, had,
1036:63	and i guess that turns out --n405829 to be the basic problem with any invasion of privacy is whether or not you're feeling, threatened as a result of, of it
1049:60	if i deviate from social norms of behavior, if i run up and down the street --n405fb0 yelling or something, someone's going --n405fd3 to invade my privacy very quickly.
1131:129	are th-, are there any other specific things that, that you feel like, where, where you feel your privacy to be invaded --n408a11 on a day-to-day basis or either on a growing frequency --n408a40.
1133:56	all the class-, the other classic examples, the jehovah's witness or, or mormons or someone knocking at the front door, um, which --n408c86 is more intrusive because i have --n408ca5 to really tell someone --n408cbc to go away.
1133:64	all the class-, the other classic examples, the jehovah's witness or, or mormons or someone knocking at the front door, um, which --n408c86 is more intrusive because i have --n408ca5 to really tell someone --n408cbc to go away.
1147:55	have you ever gotten one of those calls that --n400036 is either generated --n400049 by a computer or somebody going down a list
1149:3	or they're introducing some new product in the area
1151:3	or you're in the middle of cooking something
1170:3	or you hear somebody all ready starting, reading off a list of stuff that they've read --n400a08 probably a thousand times that day already.
1173:3	or the ones that --n400b78 are, are generated --n400b8f by a computer.
1200:36	but if they're going --n40168b to offer these services, or these recorded message, everything, they ought --n4016ca to be stuck --n4016dd working with the phone book like everybody else instead of using a computer --n40171c to go through and just go down every sequence of numbers for this certain area code and call them.
1214:60	i put a stop to some of them as far as the door to door, either religious groups, or people peddling products.
1216:3	or i would have called for their salesman to come out.
1226:14	or, or they're from a religious organization
1239:63	but i think they should also respect the sanctity of the american home, whether it be in a house or in an apartment.
1256:174	and that, that's one thing that i feel really strongly about --n403ace though, is, uh, you know, people --n403afd coming up to my door, and especially religious organizations and wanting --n403b34 to uh, you know, to try and get me to join or, you know, become interested in their religion,
1265:65	i should have, i guess i should make another one that --n40427d says religious or otherwise, cause i still get,
1433:51	i mean people will just look at you as a person and not as a man or a woman,
1446:55	not what color you are --n401bd9, how old you are --n401bf4, what you're male or female.
1458:3	or the way you look --n402091,
1459:3	or the way you, you know,
1464:8	your age or anything.
1502:41	i would just take her the actual paperwork once, uh, every week or two,
1592:58	so you don't have --n4047e5 to, you know, unless you're just really sick, or the child's sick.
1595:3	or just forget it.
1600:3	or, what i've done --n404b1f is found like doctors' and dentists' office with extended hours.
1608:60	i don't know how many times i've done that --n404ebc --n404ec3 to do something, post office or the bank or any kind of errand,
1608:67	i don't know how many times i've done that --n404ebc --n404ec3 to do something, post office or the bank or any kind of errand,
1714:23	if it is performed --n4011e6 correctly or if it's done --n401205 right, or if the version is done --n40122c right, i like it,
1714:46	if it is performed --n4011e6 correctly or if it's done --n401205 right, or if the version is done --n40122c right, i like it,
1730:76	the one thing i do object to --n4016e5 about rap music is, is when it becomes militant --n401714, or, if it's, uh, violence oriented.
1756:89	the, the piece of music, the piece of music was about, i think --n401e2f about forty or fifty years old.
1786:119	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them.
1831:82	you know, come --n403ecb to think of it, i think that was a cover version of, like a john lee hooker song, or something,
1876:62	i me-, there was no reason for him to really come into, you know, great stardom or anything.
1999:3	or, uh,
2067:114	and i made a lotus spreadsheet and went through the year --n400249 using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over or under for each month
