Item,Mean_nocontext,YMin_nocontext,YMax_nocontext,Mean_context,CILow,CIHigh,YMin_context,YMax_context
100571:7,4.9,3.6,6.002499999999998,5.9,0.9000000000000004,0.6999999999999993,5,6.6
100584:49,4,3,5,2.4,0.7999999999999998,0.8000000000000003,1.6,3.2
100603:25,2.4,1.7,3.202499999999998,3,1,1.0999999999999996,2,4.1
100784:45,4.9,3.5,6,3.7,1,1,2.7,4.7
100820:27,4.7,3.3,6.002499999999998,3.9,1.2999999999999998,1.3000000000000003,2.6,5.2
100889:88,5.9,5.2,6.6,3.9,1.4,1.4,2.5,5.3
100975:27,3.7,2.7,4.7,3,1.1,1.0999999999999996,1.9,4.1
101025:37,3.8,2.6,4.8024999999999975,2.9,1.0999999999999999,1.3000000000000003,1.8,4.2
101121:88,3.9,2.4,5.4,3.2,1.3000000000000003,1.3999999999999995,1.9,4.6
101243:85,3.3,2.1,4.6,2.1,0.6000000000000001,0.6000000000000001,1.5,2.7
101449:50,4.4,3,5.6,4,1,1,3,5
101464:11,4.5,3.4,5.5,4.3,1,0.7999999999999998,3.3,5.1
102005:100,3.4,2.1,4.7,1.5,0.3999999999999999,0.3999999999999999,1.1,1.9
102016:6,3.5,2.65,4.5,2.8,1.0999999999999999,1.0024999999999977,1.7,3.8024999999999975
10235:39,3.7,2.3,5.2,3.9,1.2999999999999998,1.3000000000000003,2.6,5.2
102431:45,3.7,2.6,4.7,4.3,0.8999999999999999,0.9000000000000004,3.4,5.2
102546:21,4.7,3.7,5.7,3.2,1.3000000000000003,1.3999999999999995,1.9,4.6
102781:19,2.9,1.8,4.1,4.5,1.7000000000000002,1.7000000000000002,2.8,6.2
102998:7,4.7,3.9,5.5,4.1,0.8024999999999993,0.9000000000000004,3.2975000000000003,5
103194:37,3,2.1,4,3.6,1.3000000000000003,1.4,2.3,5
103477:18,5,4.1,5.9,6,1,0.7000000000000002,5,6.7
103563:4,5.9,5,6.6,5.2,1.5,1.2000000000000002,3.7,6.4
103574:12,3.7,2.6,4.9,2.6,1.3,1.4999999999999996,1.3,4.1
103624:72,4.9,3.8,6,5.4,0.8000000000000007,0.7999999999999998,4.6,6.2
103644:40,5.9,4.9,6.6,5,0.9000000000000004,1,4.1,6
