TGrepID	EntireSentence	context	BestResponse
9196:49	but i do think that, um, congress has backed down much too much on some of the air pollution standards.	###uh, i don't, uh, i don't know whether we could do a whole lot as individuals.###uh, maybe just take good care of our cars, and make sure we keep our pollution devices clean and all that sort of thing.###um,###.###right.###.###apart from that, i, i don't know what we can do --n4023f0 as individuals.###what do you think we can do --n4024e6.###.###uh-huh,###you think, it's more, more to society.###well i guess i kind of agree there.###i, uh,###on an individual basis there isn't a lot we can do --n402722 about a lot of things###but if we are concerned about it then we certainly can, uh, force, uh, government, uh, that we elect --n402852 to deal more seriously with it.###.###yeah.###.###and i do think that we have a responsibility there.###i must admit i'm not always real politically active	but i do think that, um, congress has backed down much too much on all of the air pollution standards.
164770:133	one of the things that i found --n402a1b interesting last year during the, uh, the gulf conflict was a sentiment against, uh, peter arnett, who --n402a7a had stayed in iraq and was presenting, uh, some of the things that --n402abd were available.	###.###uh-huh.### which, uh, which approach do you find --n40211b to be, uh, more useful, the,###the interpretive approach or the straight reporting.###.###oh, i like the straight reporting.###uh, and then i, i hope --n4022ef to be able --n402302 to form my own opinion of it.### it's, it --n402411's nice to hear someone's interpretation of it###.###uh-huh.###.###uh, i always think it's humorous when, when the president gives the state of the union and, uh, for thirty minutes and then for an hour and a half you hear different commentators explaining what you just heard --n4025d6 --n4025dd.###.###.###and a lot of time i don't hear exactly what they, what they write --n4027fc into it.###.###uh-huh.###.###so i, overall, i think i would rather --n402936 hear just straight reporting.###.	one of the things that i found --n402a1b interesting last year during the, uh, the gulf conflict was a sentiment against, uh, peter arnett, who --n402a7a had stayed in iraq and was presenting, uh, all of the things that --n402abd were available.
151303:29	well, you know, you can take some of that, that testing a little bit too far.	###huh. that's true.###.###you know, i've, i've gone out and had a, had a beer at lunch time, but not to excess in any case.###.###uh-huh.###do they give any limits on alcohol,###or is it.###.###uh, i don't remember, --n404521 to tell you the truth.###i don't think they do.###um, well, they must,###i mean, gee whiz.###that just shows you how much i've been paying attention --n404708,###because i, i really don't know.###.###.###i'll have --n404830 to go into work tomorrow and ask.###.###oh.###.	well, you know, you can take all of that, that testing a little bit too far.
15843:18	now we've let some people --n400f3d go, uh, that wa-, we, was found that drugs were used --n400f8c in --n400f97 their system.	###and what we do --n4008d3 is we'll have a drug test if an, if a, a break or a man, uh, has an accident.###then he's automatically, uh, given --n400aa2 a drug test.###.###right.###do they do it, like, you know, within hours of the accident,###or is it.###.###yes,###when he goes to the doctor the first time --n400c70.###.###yeah.###.###and so, that kind of, uh,###i don't know if it's been a deterrent or not, because we have, uh, just started --n400dad using it oh, for the past year or so.###.###uh-huh.###.###.###yeah.###.	now we've let all people --n400f3d go, uh, that wa-, we, was found that drugs were used --n400f8c in --n400f97 their system.
63108:7	and some of them require me to go out of town,	###we went in --n402445 together and hired a private instructor,###and she came to our school twice a week.###.###uh-huh.###.###and, i, i was,###i would go faithfully,###and then i missed once.###.###.###then i went back again a couple times and missed another time, and then kept --n4026a4 missing and never went back again.###.###uh-huh.###.###i think, if you, you just have --n4027d9 to stick with it.###.###oh, yeah.###i think i've been two maybe three times the month of april,###and this session is about --n4029b1 to run out.###now i signed up for a different one --n402a42 now that --n402a51's only two nights a week because i am getting kind of into a real busy schedule as far as --n402aa8 teaching a lot of training classes	and all of them require me to go out of town,
43559:43	you wonder how in the world they ever got them to do some of these things --n4042c7.	###.###oh, the book is really good.###i mean, i, i keep a little library of books that i just like --n4039c3 to read --n4039d2 over and over again###and that's one of them.###.###wow. huh.###.### it's, it's so well written.###.###huh. well, i have one i bet you haven't seen --n403c4f if you don't have kids. otis and milo.###.###oh, you're right.###i haven't.###.###oh, that is, that is the most precious movie.###it has, w-, to see it on the big screen because it's just the most gorgeous nature scenes you've ever seen --n403f1d in your life.###and it's all this,###it's the story of this little cat and dog###and it's not like cutesy.### it's just, uh, it's just so realistic. everything they do --n4041b3.	you wonder how in the world they ever got them to do all of these things --n4042c7.
130807:72	and one way that we do it sort of in, in iowa --n403b93 is that we can take some of our clothes to the consignment shops.	###yeah,###exactly.###.###you know.###but, uh, i know we had a problem down here with, uh, oil, people taking oil out of their cars and just putting it down the d-, you know, the s-, the drain sewer.###.###uh-huh.###.###.###yeah.###.###and, uh, all that, because there was,###apparently a lot of people, you know, every time they change the oil --n403711, they just dump all the res-, their old oil down there.###.###uh-huh.###.###now they're starting --n403897 to recycle that stuff.###.###oh, that's good.###uh, another thing i thought of --n403980, i guess, --n40399b to recycle --n4039aa would be like clothes, because i mean everybody gets rid --n4039dd of their clothes sometime or other.	and one way that we do it sort of in, in iowa --n403b93 is that we can take all of our clothes to the consignment shops.
108856:37	you can't understand what they're saying --n402f7a on some of those songs which --n402f99 probably is just as well on some of them, too.	###.###and so the, the musicians don't get --n40291c to really get into their music.###they just play a certain number of chords###.###yeah.###.###the drummer plays a certain beat,###and you have a country and western song###.###um.###.###and,###.###well, that's kind of the way i feel --n402b7e about rock and roll sometimes, too, i guess --n402bb1.###they don't really,### has kind of the same sound over and over,###and the other thing i don't like --n402d71 about it is they have a tendency to play the instrumental so loud that you can't understand what the lyrics are --n402dd8###.###um. right.###.	you can't understand what they're saying --n402f7a on all of those songs which --n402f99 probably is just as well on some of them, too.
105896:51	and i think it --n40255a's good that they're trying --n402579 to start some programs down in the elementary schools.	###.###also, i guess you can, you know, get the wrong kind of stuff and kill yourself just by --n40218f having a wrong mix of or watered down or or whatever, all kinds.###.###that's right.###.###.###oh yeah.###.###i sub in the schools###.###uh-huh.###.###so i've, you know, had a,### they they talk a lot about drugs there###.###so,###.###.###right.###.	and i think it --n40255a's good that they're trying --n402579 to start all programs down in the elementary schools.
148130:31	uh, i suppose that puts me on some mailing lists and so forth, because i do get things from ski associations and things, uh, at, during the year.	###.###we take several at home.### i, i take, um, skiing magazine,###and i take, uh, discover magazine, and also, uh, c d and stereo review and national geographic, i think and boys life.###.###uh-huh.###.###.###oh, mumblex.###.###.###oh, good.###that's a good one, i like --n10386 to get --n10395.###um, so i take it that you like --n1044e to ski.### do you, do you, um, receive a lot of information on skiing through the ski magazine.###.###i presume that i do.###.###uh-huh.###.	uh, i suppose that puts me on all mailing lists and so forth, because i do get things from ski associations and things, uh, at, during the year.
