TGrepID	EntireSentence	context	BestResponse
124653:71	it's hurting, you know, it's hurting germany --n400656, for example, too, and some other parts of europe where they, where they have high industry --n4006ad.	###well, the rangers really, uh, knocked the socks off of them, which you would expect --n4041d1 you know, anyway,###.###right.###.###but nolan i think --n4042f5 took himself out after a couple of innings --n40431c or something, you know, of the game###so,###.###.###okay.###.###so what do you, uh, think --n400050 is the, uh, the worst culprit for air pollution.###.###well, i think it's, it's probably a combination of things.###um, factories that, that --n400271 burn coal as a, an energy source with sulfur and nitrogen contaminants, you know,###and you get sulfur oxides and nitrogen oxides.###.###uh-huh.###.###uh, those are the ones i think --n40046f primarily contribute to acid rain,###and i think that's, that's probably hurting us a little bit.	it's hurting, you know, it's hurting germany --n400656, for example, too, and all other parts of europe where they, where they have high industry --n4006ad.
78212:39	and i know they do van pool a lot here from some of the outer areas,	###an.###.###oh really,### to commute to work.###.###yes,###yes.###.###oh.###.###and in the, in the morning i try --n403b5a to sleep because it's, it's dark thirty.###.###.### but in, but in the afternoon, uh, i try --n403cbc to read###so i can, can, uh, not pay attention to what our driver is doing --n403dab.###.###yeah,###i can,###the van pools i know that,###and i'm in the baltimore, washington area,	and i know they do van pool a lot here from all of the outer areas,
140196:19	uh, and then what some people would consider --n10496 a little more difficult, i, i'll change spark plugs	### come to my menagerie.###.###they knew the sucker when they saw one --n404ce5.###so now we have two parakeets.###.###.###okay,###now then you heard the question,### what what do you like --n10095 to do --n100a4 for yourself in car automobile repairs.###.###uh-huh.###.###.###well, i'll tell you,###i used --n101f2 to do a lot more repairs --n10211 when cars were easy to work on --n1023c --n10243, than i do now.###.###okay.###.### i do, uh, i do the easy stuff now.###i change oil,	uh, and then what all people would consider --n10496 a little more difficult, i, i'll change spark plugs
170188:22	we actually do some work with some people down at georgia tech.	###uh-huh.###.###the area i work in --n4005db, it, it primarily have maybe a hundred people or so.###.###uh-huh.###.###so that's make up most of the laboratory###so from, from that standpoint, it's pretty small it's pretty small.###.###uh-huh.###.###what about yourself.###.###huh.###well, i, i work for, uh, --n400910 actually probably similar kind of place.###i work for, uh, lincoln laboratory.###.###oh, okay.###.###uh, yeah.	we actually do some work with all people down at georgia tech.
146618:32	and then you would see see some of the others that --n402cce are were like distant from the other group	###.###right.###.###and they may be ambulatory,###but they tend --n4026ec to behave like children, small children###.###yeah.###.###and that would be very difficult i think --n4027d1 for an adult who --n4027ec wasn't in that situation to to have --n402813 to deal with --n402826 on a daily basis.###.###yeah.###.###uh.###.###well, it is like, wel-, the one that i worked in --n4029eb, uh, you would see some of them just like in wheelchairs all day,###they would just roll themselves around all over the place### and and they would enjoy enjoy themselves with activities###.###yes.###.	and then you would see see all of the others that --n402cce are were like distant from the other group
166169:26	i do know for a fact that some of the teachers that i know --n402cf9 personally get paid --n402d0c an awful lot more than,	###uh, well, i don't pretend --n401959 to understand that either.###uh, but i'm not quite sure that it's the kind of thing that --n401a2c ought --n401a37 to be blamed --n401a4a on the schools.###but then, again, i'm not quite sure where the blame ought --n401b92 to be put --n401ba5 --n401bac. uh, because the, the dropout rate is, in those areas, w-,###it's high in those areas where also there's poverty and, and crime --n401d75.###and they all seem --n401e44 to go together.###and it seems like if you could eliminate one of, of the parts of that circle, whether, where you have the dropout rate and crime and, you know, general poverty kind of conditions --n401f5c, that things ought --n401f73 to get better.###so, uh, a-, the other two a-, a-,###they --n40224b're all three social issues and could be addressed --n402276 by the government in any ways. and clearly, to me, is a kind of government thing to, to fix --n4022e1###but it's just like, i, i don't expect them to know which, which, which part --n4024a7 is best to fix --n4024c6 just like i don't know.### it's, it's a complicated issue.### i, i still don't think i would blame it directly on the school.###.###i don't know if i blame it on the school.### i think, i think i blame it, i think i blame it on a couple of different things.###i think i blame it on the school system. uh,###.###well, that's i meant when i said the school --n402b02.###.###yeah.###i don't blame it on the teachers in the school. i, although i think that,	i do know for a fact that all of the teachers that i know --n402cf9 personally get paid --n402d0c an awful lot more than,
95345:10	i do some p c stand alone work on it,	###and she said, well, she said, you know, kids do exaggerate,###but she said, let's go ahead and send him another day, or two days,###and i promise you faithfully, i will watch the instructor every minute and see exactly what --n407487's happening.###.###oh, good,###.###.###yes,###.###.###so do you have p c --s.###.###i have a personal computer at home.###it's an a t compatible.###i don't use it very much any more.###i used --n4001a3 to use it quite a bit.###.###uh-huh.###.###i also have a p c --n400252 at work that i use --n40026d as a terminal.	i do all p c stand alone work on it,
64610:17	and they've built some new highways out to that area, and things, lately.	###maybe texas the way,###.###the elevation is extremely high.###.###uh-huh.###.###it's got curving roads on it,### but, but the,###it's just a strange landscape,###there's very little vegetation.###.###huh.### i didn't, i don't remember --n407efc seeing that part of it.###i know mumblex valley,###yeah,###it's just a suburb of l a.###.###right.###it's a,###.	and they've built all new highways out to that area, and things, lately.
27683:75	but the, the interesting thing is that paint we wound up --n406ecb having --n406ed6 to go back and scrape some of that away	###uh-huh.###.###and the lights shine right at our house.###it's kind of,###we didn't know that when we bought the house --n406839###but,###.###so that, uh,###you get some,###the color doesn't really matter for, because you have that light.###.###yeah.###we have a lot of light,###yeah.###and, well, it, it, it, um, well, it's just, uh, i think it's just the, the, the dark blue to about three feet###and then above that we left it white###so. anyway, it didn't, it didn't change###.###i see.###.	but the, the interesting thing is that paint we wound up --n406ecb having --n406ed6 to go back and scrape all of that away
9797:33	i've, i've seen some of them on repeats.	###.### let's see,###how about, uh, man from uncle.###.###i do seem --n404ee9 to reme-,###is that the one where they, uh, he always got this, this tape recording that --n404f9f self-destructed --n404faa.###.###that's mission impossible.###.###uh, mission,###that's right,###mission impossible.###yeah,###i used --n4051b3 to watch that.###in fact, i can still remember a couple of those.###they were,###i thought those were very good.###.###yeah,###they always have,	i've, i've seen all of them on repeats.
