"Item_ID"	"OriginalSentence"	"Partitive"	"StrengthSome"	"Subjecthood"	"Modification"	"Context"	"ComparisonSentence"
"91758:36"	"and he really, this man really shed some light on, um, some, aspects of of bach's genius and, and, and, you know, the, and more sociological things, you know, like the, the idea that, um, that music, to be a musician was as much, um, of a family occupation as anything."	"no"	5.6	"other"	"unmodified"	"###.###yeah.###.###but it's, it was written --n405ab5,###.###yeah.###.###i mean the, the copyright is nineteen ninety-one,###so it's a brand new book.###.###oh, it's a brand new book.###.###yeah,###uh-huh.###.###oh, that, that would be wonderful to read something like that.###.###yeah,###.###."	"and he really, this man really shed some light on, um, some, aspects of of bach's genius and, and, and, you know, the, and more sociological things, you know, like the, the idea that, um, that music, to be a musician was as much, um, of a family occupation as anything."
"91758:53"	"and he really, this man really shed some light on, um, some, aspects of of bach's genius and, and, and, you know, the, and more sociological things, you know, like the, the idea that, um, that music, to be a musician was as much, um, of a family occupation as anything."	"no"	6.3	"other"	"modified"	"###.###yeah.###.###but it's, it was written --n405ab5,###.###yeah.###.###i mean the, the copyright is nineteen ninety-one,###so it's a brand new book.###.###oh, it's a brand new book.###.###yeah,###uh-huh.###.###oh, that, that would be wonderful to read something like that.###.###yeah,###.###."	"and he really, this man really shed some light on, um, some, aspects of of bach's genius and, and, and, you know, the, and more sociological things, you know, like the, the idea that, um, that music, to be a musician was as much, um, of a family occupation as anything."
"64969:22"	"and i hope you get some more calls and make some more calls."	"no"	6.4	"other"	"modified"	"### but i, but i guess music comes into that whole aspect of listening. so as long you're listening.###.###right.###.###so,###.###right.###yep.###.###but if you do, if you do have --n4046b3 to go something, i guess we can just cut off.###.###yep.###okay.###.###well, jack, it --n404838 was nice to talk to you.###.###yep.###nice talking to you, tom.###.### a-, and good luck,"	"and i hope you get some more calls and make some more calls."
"64969:34"	"and i hope you get some more calls and make some more calls."	"no"	6.5	"other"	"modified"	"### but i, but i guess music comes into that whole aspect of listening. so as long you're listening.###.###right.###.###so,###.###right.###yep.###.###but if you do, if you do have --n4046b3 to go something, i guess we can just cut off.###.###yep.###okay.###.###well, jack, it --n404838 was nice to talk to you.###.###yep.###nice talking to you, tom.###.### a-, and good luck,"	"and i hope you get some more calls and make some more calls."
"32953:16"	"and i've got some broccoli, uh, onions some, some radishes and, uh, uh, beets."	"no"	6.6	"other"	"unmodified"	"###.###oh.###.###and nope,###we haven't had much luck with it###we're going --n40aa55 to try it again this year.###.###yellow peppers, huh.###.###they have some little buds on them###hopefully they'll do something.###.###yeah.### sounds like you have a real good garden.###.###yeah.###we enjoy --n40ac86 fooling around with it.###.### just let me see what i got --n40ad15,###i got the peas"	"and i've got some broccoli, uh, onions some, some radishes and, uh, uh, beets."
"32953:43"	"and i've got some broccoli, uh, onions some, some radishes and, uh, uh, beets."	"no"	6.5	"other"	"unmodified"	"###.###oh.###.###and nope,###we haven't had much luck with it###we're going --n40aa55 to try it again this year.###.###yellow peppers, huh.###.###they have some little buds on them###hopefully they'll do something.###.###yeah.### sounds like you have a real good garden.###.###yeah.###we enjoy --n40ac86 fooling around with it.###.### just let me see what i got --n40ad15,###i got the peas"	"and i've got some broccoli, uh, onions some, some radishes and, uh, uh, beets."
"23861:102"	"and if you like chinese food, you can take filet of fish and put a little bit of soy sauce and a little bit of sesame oil on top of it and chop some scallions and a little ginger and just cover it with some, uh, waxed paper and steam it just until the fish is done,"	"no"	5.8	"other"	"unmodified"	"###right.###.###well, if we're entertaining we'll do a chinese recipe###.###right.###yeah.###.###and, um, there are really easy recipe###that is, you know, with chinese you always have several dishes.###.###.###and nowadays with microwaves,###you can steam many of the things in a microwave.###.###yeah.###.###i don't know if you have one.###.###yeah.###."	"and if you like chinese food, you can take filet of fish and put a little bit of soy sauce and a little bit of sesame oil on top of it and chop some scallions and a little ginger and just cover it with some, uh, waxed paper and steam it just until the fish is done,"
"23861:130"	"and if you like chinese food, you can take filet of fish and put a little bit of soy sauce and a little bit of sesame oil on top of it and chop some scallions and a little ginger and just cover it with some, uh, waxed paper and steam it just until the fish is done,"	"no"	5.9	"other"	"modified"	"###right.###.###well, if we're entertaining we'll do a chinese recipe###.###right.###yeah.###.###and, um, there are really easy recipe###that is, you know, with chinese you always have several dishes.###.###.###and nowadays with microwaves,###you can steam many of the things in a microwave.###.###yeah.###.###i don't know if you have one.###.###yeah.###."	"and if you like chinese food, you can take filet of fish and put a little bit of soy sauce and a little bit of sesame oil on top of it and chop some scallions and a little ginger and just cover it with some, uh, waxed paper and steam it just until the fish is done,"
"13424:16"	"and in fact, some of these things i get , some of these questionnaires,"	"yes"	4.9	"subject"	"modified"	"###and almost anything you do --n400743 now, a social security number is required --n40076a.###.###uh-huh.###.###and, uh, of course there's another aspect of this, too, uh, in terms of invasion of privacy###i just thought about it,###-n40098f being a professional and, of course, you probably belong to one or more professional organizations,###and that is that some of the organizations sell their mailing lists which i think --n400ad0 is a, is an invasion of privacy.###.###uh-huh.###.###.###i agree.###.###.###yes,###i get some of these things --n400c8e in the mail that i wonder, where in the world did they get my address --n400cd5 or where did they get my name --n400cf8 --n400cff.###.###uh-huh.###."	"and in fact, some of these things i get , some of these questionnaires,"
"13424:44"	"and in fact, some of these things i get , some of these questionnaires,"	"yes"	5.1	"subject"	"modified"	"###and almost anything you do --n400743 now, a social security number is required --n40076a.###.###uh-huh.###.###and, uh, of course there's another aspect of this, too, uh, in terms of invasion of privacy###i just thought about it,###-n40098f being a professional and, of course, you probably belong to one or more professional organizations,###and that is that some of the organizations sell their mailing lists which i think --n400ad0 is a, is an invasion of privacy.###.###uh-huh.###.###.###i agree.###.###.###yes,###i get some of these things --n400c8e in the mail that i wonder, where in the world did they get my address --n400cd5 or where did they get my name --n400cf8 --n400cff.###.###uh-huh.###."	"and in fact, some of these things i get , some of these questionnaires,"
