TGrepID	EntireSentence	context	BestResponse
135381:35	to me, half the time it's more fascinating than some of these made up stories.	###it --n400464's funny how many names --n40047f have been used --n400492, uh, all over the country.###.###yeah,###well, tell me what kind of books have you read --n4005b7.###.###well, to tell you the truth, i've been going to college for the last four years###so mainly, text books.###.###.###i was going --n40078a to say, not fun kind, right.###.###no,###um,###but, i, i really tend --n400871 to like biographies a lot, not necessarily always heavy ones###.###uh-huh.###.###but, you know, sometimes biogr-,###i just read one about grace kelley.###i love --n400a5a to read about real people.	to me, half the time it's more fascinating than all of these made up stories.
113855:35	and i don't mind, uh, --n4035d3 paying for some of these fringe benefits that people are entitled to --n40360a.	###that's the way they're thinking these days anyway --n402baa.###.###it seems, seems --n402c46 to be.### i, you know, i,###it really does bother me when i think about, you know, leaving our children with, with this sort of, uh, a national problem that we can't seem --n402def to find an, an answer to --n402e12 it --n402e1d, uh,###i don't know.###.### i, i don't think it ever will really.###i,###maybe if they ever get to the point### the biggest, you know, the biggest outlaid expense has always been either wars or defense.###.###right.###.###really.###if they were --n4032dd to take half of what they spend --n403300 on that and put it on some economic, you know, inter-, intergovernmental or inter united states like programs that one really might.###.###yeah.###.### i, i believe in --n403521 paying my share,	and i don't mind, uh, --n4035d3 paying for all of these fringe benefits that people are entitled to --n40360a.
31254:36	and i would imagine their learning disabilities are quite large in some cases.	###.###and i used --n4028b1 to think, well, that's wonderful.###you know, they can get a real life experience.###what i'm seeing --n4029ea now, uh, in terms of kindergarten preparedness, just from, in, in, in different preschools it's like day and night.###.###uh-huh.###.###and i wonder, how do they handle a child who --n402bed is obviously very ready and another child who --n402c14 doesn't even speak english, let alone know her colors --n402c47.###.###yeah.###.###and they're in the same classrooms.###and i guess also you're going --n402e1a to see the first of the, uh, crack kids starting kindergarten.###my god, i think it would be next year is what i'd read --n402f62.###i thought, well, how do you, how do you weed those out --n403057.###.###yes.###some of those certainly have a lot of dis-, difficulties, you know, with, uh, all sorts of things,###.###.	and i would imagine their learning disabilities are quite large in all cases.
46328:7	and some of those people, they don't deserve --n4026f6 to be let --n402709 loose.	###uh-huh,###.###.###uh-huh.###.###and i, i really think that we're, we're falling by the wayside with --n402230 not incarcerating these people.###.###oh, i agree.###i think that people are getting off too easy.### they're getting, they're getting paroled --n402439 too easily.###.###uh,###uh.###.###they're just getting, uh, put --n40252a on probation or something, because the prisons don't have enough room###so they get, they get lighter sentences,###.###yeah,###exactly.###.	and all of those people, they don't deserve --n4026f6 to be let --n402709 loose.
63606:10	and then some of them are done --n4038ec in, you know, purely metric.	###.###and.###.###and one of the things that we've run into --n403389 a problem,###course you're familiar with the t i drawing,###well, with any drawing system you end up with, you end up with things in inches in parts of inches, you know, half, fourth, you know, this sort of thing.###.###right.###mils and microns.###.###.###right.###.###.###right.###.###and then you end up with a decimal, where you start --n4037a8 getting into mils, and that sort of thing --n4037d3.###.###right.###.	and then all of them are done --n4038ec in, you know, purely metric.
29416:66	um, it, it, it --n403084 was very interesting that it seemed like some of the commentators had their axe to grind --n4030d7, you know,	###.###so i've never actually been through a period of war###.###uh-huh.###and i don't know anyone in the military###and i don't have a lot of background knowledge in, uh, military strategy and, and weaponry, and, and all that kind of stuff.###and i thought the generals were very interesting.###.###now when they started --n402a98 to speculate --n402aa7, i, i saw that for what is was --n402ad6, and thought all of these guys don't know what --n402b0d's going on.###.###uh-huh.###but i thought the-, the-, they were interesting,###.###speakera54-1*t54-1.### and, and they shed some light on what --n402dcf was going on for me.###speakerbnan*t54-1.###speakerb54-2*t54-2.###i will admit it's interesting.### i-, i-, i'm twenty-six.###so i don't have any more experience in that than you.	um, it, it, it --n403084 was very interesting that it seemed like all of the commentators had their axe to grind --n4030d7, you know,
43900:8	probably some of them did.	###that sounds great.###.###.###yeah.###.###uh, but other than that i just didn't have time to go to the movies --n409771, you know.###.###yeah.###.### never sho-, any, anyway, anything that i ever wanted --n4098b4,###i rented a lot of videos.###.###uh-huh###.###cause the closest movie theater was barry saint edmunds###and who --n409a5c wants who --n409a6b wants --n409a76 to drive twenty miles --n409a8d to go to the movies.###.###oh, boy.###.###.	probably all of them did.
138291:137	i'd, i'd kind of like --n403d01 to, to look at equipment like a lathe or like you say, a table saw and some of those things that --n403d70 would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth	###.###.###but not so here in texas.###.###uh-huh.###.###.###no,###they don't have basements.###well, i'm from up north also### and, and, uh, no###there's no t-, basements down here###and it --n403892's kind of, uh, hard to get, uh, shop space unless you have a dedicated shop or a dedicated room for that.###.###yeah.###.###yeah,###lot of the equipment --n403a40, too, that i've, i've used --n403a7b in the past, uh, i w-, you know, i've used --n403abe in school###and, uh, i would,###i don't know,	i'd, i'd kind of like --n403d01 to, to look at equipment like a lathe or like you say, a table saw and some of those things that --n403d70 would make, uh, all pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth
16415:5	some of them, they used --n404cf0 to be a hundred dollars,	###and then i pour about a half a cup of cornstarch in it###and i have this thing###it's called --n404790 the slender blender,### it, it makes the, uh, it makes, uh, a whip topping out of milk if you get the milk cold enough.###it's, uh,###i don't know,###they're called --n404a0d moo goo leaves or something###they're sl-,###.###i think i know what you're talk-,###is it like a hand held.###.###yeah.###they're real neat.###.###the,###yeah,###okay.###.###i think they're real reasonably priced,	all of them, they used --n404cf0 to be a hundred dollars,
41717:66	well i feel like too, on the job, when, you know, there's men around and some of the managers are men --n403282, you just, you know, you don't want them looking at your legs necessarily.	###.###uh, even though i may have them from sixth grade on up through, uh, grandmothers, in my class.###.###uh-huh.###.###and, uh, whe-, i always try --n402c84 to emphasize the, clothes that you wear --n402caf should not necessarily be the greatest fad,###.###uh-huh.###.###because maybe they, those are not the clothes that --n402e29 are the most, uh, appealing to you, or the most, uh, complimentary to you.###.###right.###.###but, uh, the mini skirt many times will evoke comments you don't really want --n402ff6.###.###right.###.### and, and then, uh, then you're in the situation where you're very unhappy --n403111.###.###uh-huh.	well i feel like too, on the job, when, you know, there's men around and all of the managers are men --n403282, you just, you know, you don't want them looking at your legs necessarily.
