"","Answer.time_in_minutes","tgrep_id","strange","workerid","slide_number_in_experiment","rating"
"1",3.40871666666667,"example1"," ''",0,2,"0.82"
"2",3.40871666666667,"example2"," ''",0,3,"0.69"
"3",3.40871666666667,"example2"," ''",0,3,"0.6"
"4",3.40871666666667,"example2"," ''",0,3,"0.1"
"5",3.40871666666667,"example3"," ''",0,4,"0.75"
"6",3.40871666666667,"example4"," ''",0,5,"0.9"
"7",3.40871666666667,"example5"," ''",0,6,"0.29"
"8",3.40871666666667,"6607:30"," True",0,8,"0.77"
"9",3.40871666666667,"7361:10"," False",0,9,"0.73"
"10",3.40871666666667,"6581:42"," False",0,10,"0.81"
"11",3.40871666666667,"3878:16"," True",0,11,"0.35"
"12",3.40871666666667,"5480:20"," False",0,12,"0.86"
"13",3.40871666666667,"4457:24"," False",0,13,"0.76"
"14",3.40871666666667,"control3"," True",0,14,"0.88"
"15",3.40871666666667,"1206:10"," True",0,15,"0.84"
"16",3.40871666666667,"2767:14"," True",0,16,"0.36"
"17",3.40871666666667,"2345:39"," True",0,17,"0.79"
"18",3.40871666666667,"4795:25"," True",0,18,"0.89"
"19",3.40871666666667,"6686:28"," False",0,19,"0.75"
"20",3.40871666666667,"control2"," False",0,20,"0.29"
"21",3.40871666666667,"1214:19"," False",0,21,"0.77"
"22",3.40871666666667,"1177:17"," False",0,22,"0.48"
"23",3.40871666666667,"control1"," True",0,23,"0.81"
"24",3.40871666666667,"2454:46"," False",0,24,"0.65"
"25",3.40871666666667,"4008:21"," False",0,25,"0.84"
"26",3.40871666666667,"2180:39"," False",0,26,"0.79"
"27",3.40871666666667,"3297:34"," True",0,27,"0.86"
"28",3.40871666666667,"7282:17"," True",0,28,"0.72"
"29",3.40871666666667,"7526:63"," True",0,29,"0.7"
"30",3.40871666666667,"control4"," False",0,30,"0.75"
"31",3.40871666666667,"7100:11"," False",0,31,"0.5"
"32",3.71621666666667,"example1"," ''",1,2,"0.93"
"33",3.71621666666667,"example2"," ''",1,3,"0.02"
"34",3.71621666666667,"example3"," ''",1,4,"0.92"
"35",3.71621666666667,"example4"," ''",1,5,"0"
"36",3.71621666666667,"example4"," ''",1,5,"0.87"
"37",3.71621666666667,"example5"," ''",1,6,"0.86"
"38",3.71621666666667,"example5"," ''",1,6,"0.06"
"39",3.71621666666667,"6686:28"," False",1,8,"0.99"
"40",3.71621666666667,"7526:63"," False",1,9,"0.21"
"41",3.71621666666667,"2454:46"," False",1,10,"0.92"
"42",3.71621666666667,"6607:30"," False",1,11,"0.95"
"43",3.71621666666667,"7100:11"," False",1,12,"0.07"
"44",3.71621666666667,"7282:17"," False",1,13,"0.14"
"45",3.71621666666667,"1177:17"," False",1,14,"0.87"
"46",3.71621666666667,"control2"," False",1,15,"0"
"47",3.71621666666667,"5480:20"," False",1,16,"0.89"
"48",3.71621666666667,"2180:39"," False",1,17,"0.88"
"49",3.71621666666667,"1206:10"," False",1,18,"0.07"
"50",3.71621666666667,"4457:24"," False",1,19,"0.99"
"51",3.71621666666667,"control1"," False",1,20,"0.07"
