"","workerid","tgrep_id","rating","strange","slide_number_in_experiment","Answer.time_in_minutes"
"1",0,"example1","0.68"," ''",2,4.41533333333333
"2",0,"example2","0.43"," ''",3,4.41533333333333
"3",0,"example3","0.74"," ''",4,4.41533333333333
"4",0,"example4","0.49"," ''",5,4.41533333333333
"5",0,"example4","0.66"," ''",5,4.41533333333333
"6",0,"example5","0.53"," ''",6,4.41533333333333
"7",0,"example5","0.53"," ''",6,4.41533333333333
"8",0,"example5","0.35"," ''",6,4.41533333333333
"9",0,"control4","0.85"," False",8,4.41533333333333
"10",0,"7282:17","0.37"," False",9,4.41533333333333
"11",0,"2454:46","0.62"," False",10,4.41533333333333
"12",0,"control2","0.7"," False",11,4.41533333333333
"13",0,"control3","0.29"," False",12,4.41533333333333
"14",0,"6607:30","0.63"," False",13,4.41533333333333
"15",0,"6686:28","0.87"," False",14,4.41533333333333
"16",0,"3878:16","0.41"," False",15,4.41533333333333
"17",0,"4457:24","0.58"," False",16,4.41533333333333
"18",0,"4008:21","0.2"," False",17,4.41533333333333
"19",0,"1214:19","0.84"," False",18,4.41533333333333
"20",0,"6581:42","0.54"," False",19,4.41533333333333
"21",0,"2180:39","0.37"," False",20,4.41533333333333
"22",0,"1206:10","0.74"," False",21,4.41533333333333
"23",0,"control1","0.8"," False",22,4.41533333333333
"24",0,"7100:11","0.28"," False",23,4.41533333333333
"25",0,"3297:34","0.72"," False",24,4.41533333333333
"26",0,"1177:17","0.53"," False",25,4.41533333333333
"27",0,"2345:39","0.28"," False",26,4.41533333333333
"28",0,"7361:10","0.84"," False",27,4.41533333333333
"29",0,"5480:20","0.94"," False",28,4.41533333333333
"30",0,"4795:25","0.58"," False",29,4.41533333333333
"31",0,"7526:63","0.65"," False",30,4.41533333333333
"32",0,"2767:14","0.24"," False",31,4.41533333333333
"33",1,"example1","1"," ''",2,12.1048333333333
"34",1,"example2","0.08"," ''",3,12.1048333333333
"35",1,"example3","0.11"," ''",4,12.1048333333333
"36",1,"example3","1"," ''",4,12.1048333333333
"37",1,"example4","0.66"," ''",5,12.1048333333333
"38",1,"example5","0.62"," ''",6,12.1048333333333
"39",1,"example5","0.23"," ''",6,12.1048333333333
"40",1,"4008:21","0.32"," False",8,12.1048333333333
"41",1,"3878:16","0.16"," False",9,12.1048333333333
"42",1,"3297:34","0.26"," False",10,12.1048333333333
"43",1,"7526:63","0.27"," False",11,12.1048333333333
"44",1,"1214:19","1"," False",12,12.1048333333333
"45",1,"5480:20","0.26"," False",13,12.1048333333333
"46",1,"4795:25","0"," False",14,12.1048333333333
"47",1,"2767:14","0.2"," False",15,12.1048333333333
"48",1,"7282:17","0.14"," False",16,12.1048333333333
"49",1,"2180:39","0.07"," False",17,12.1048333333333
"50",1,"1206:10","0"," False",18,12.1048333333333
"51",1,"6686:28","0.29"," False",19,12.1048333333333
"52",1,"7100:11","0"," False",20,12.1048333333333
"53",1,"control1","0.28"," False",21,12.1048333333333
